MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Dan McLean,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, ;after amendment:
That Council:

Appoint ;Councillor Dhaliwal ;as ;the Chair and ;Councillor Tyers as ;the Vice-Chair of the Community Development Committee for terms to expire at the 2026 Organizational Meeting of Council;
Appoint ;Councillor Chabot ;as ;the Chair and ;Councillor Pantazopoulos as ;the Vice-Chair of the Infrastructure and Planning Committee for terms to expire at the 2026 Organizational Meeting of Council.",Jennifer Wyness,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Mayor J. Farkas,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0810, the following be adopted:
That Council:

Adopt the proposed 2026 Council Calendar in Attachment 1; and
Adopt the proposed 2026 Deputy Mayor Roster in Attachment 2.",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0810, the following be adopted:
That Council:

Adopt the proposed 2026 Council Calendar in Attachment 1; and
Adopt the proposed 2026 Deputy Mayor Roster in Attachment 2.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0909, the following be adopted:
That Council refer Report C2025-0909 to the Community Development Committee, to return to Council no later than 2025 December.",Andre Chabot,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0909, the following be adopted:
That Council refer Report C2025-0909 to the Community Development Committee, to return to Council no later than 2025 December.",Mike Jamieson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following Motion Arising be adopted:
That Council approve the request for Councillor Chabot to file nomination papers to seek the position of President of Alberta Municipalities, in order to meet the conditions set out section 6.02 of the Alberta Municipalities Bylaw No. 1.",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Verbal Report C2025-0813, the following be adopted, ;after amendment:
That Council receive the presentation for the Corporate Record, acknowledging Councillor Johnstons revocation of his interest in selection to attend the Grey Cup Festival.",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0808, the following be adopted, after amendment:
That Council:

Notwithstanding sections 5.16.5 through 5.16.8 of Council Policy CP2016-03 on the Governance and Appointments to Boards, Commissions and Committees, appoint Public Members as set out in Confidential Attachment 1a to the Calgary Police Commission, for terms effective 2025 November 1 and expiring on 2027 October 31;
Direct that the Public Member appointments to the Calgary Police Commission be released publicly upon successful completion of security clearance checks;
Direct that the Closed Meeting discussions, Confidential Attachments 1a and 1b, and Confidential Distribution ;remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy) and 22 (Confidential evaluations) of the Access to Information Act; and
Thank Public Members of the Calgary Police Commission for their service during the past term.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0810, the following be adopted:
That Council:

Adopt the proposed 2026 Council Calendar in Attachment 1; and
Adopt the proposed 2026 Deputy Mayor Roster in Attachment 2.",Myke Atkinson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following Motion Arising be adopted:
That Council approve the request for Councillor Chabot to file nomination papers to seek the position of President of Alberta Municipalities, in order to meet the conditions set out section 6.02 of the Alberta Municipalities Bylaw No. 1.",Jennifer Wyness,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0808, the following be adopted, after amendment:
That Council:

Notwithstanding sections 5.16.5 through 5.16.8 of Council Policy CP2016-03 on the Governance and Appointments to Boards, Commissions and Committees, appoint Public Members as set out in Confidential Attachment 1a to the Calgary Police Commission, for terms effective 2025 November 1 and expiring on 2027 October 31;
Direct that the Public Member appointments to the Calgary Police Commission be released publicly upon successful completion of security clearance checks;
Direct that the Closed Meeting discussions, Confidential Attachments 1a and 1b, and Confidential Distribution ;remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy) and 22 (Confidential evaluations) of the Access to Information Act; and
Thank Public Members of the Calgary Police Commission for their service during the past term.",Jennifer Wyness,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0810, the following be adopted:
That Council:

Adopt the proposed 2026 Council Calendar in Attachment 1; and
Adopt the proposed 2026 Deputy Mayor Roster in Attachment 2.",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0909, the following be adopted:
That Council refer Report C2025-0909 to the Community Development Committee, to return to Council no later than 2025 December.",DJ Kelly,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0909, the following be adopted:
That Council refer Report C2025-0909 to the Community Development Committee, to return to Council no later than 2025 December.",Nathaniel Schmidt,No,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following Motion Arising be adopted:
That Council approve the request for Councillor Chabot to file nomination papers to seek the position of President of Alberta Municipalities, in order to meet the conditions set out section 6.02 of the Alberta Municipalities Bylaw No. 1.",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following be adopted, after amendment:
That Council:

Appoint Councillors to the following Standing Specialized Committees for terms to expire at the 2026 Organizational Meeting of Council unless otherwise indicated below, as follows:

Audit Committee
Councillor Clark  for a two-year term
Councillor Jamieson  for a two-year term
Councillor Pantazopoulos  for a two-year term
Councillor Wyness  for a two-year term
Council Services Committee
Councillor Atkinson
Councillor Chabot
Councillor Dhaliwal
Councillor Ward
Councillor Wyness
Intergovernmental Affairs Committee
Councillor Chabot
Councillor Johnston
Councillor Clark
Councillor McLean
Councillor Tyers
Councillor Schmidt
Councillor Ward
Nominations Committee
Mayor Farkas, Chair
Councillor Clark
Councillor Jamieson
Councillor Kelly
Councillor McLean
Councillor Tyers
Councillor Yule
2. Appoint Members of Council to Council Committees and Boards, Commissions and Committees for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated;
Alberta Municipalities
Councillor Pantazopoulos  for completion of a two-year term expiring in October 2026
Councillor Chabot  for a two-year term, designated as Vice-President for Calgary for a 1-year term
Arts Commons Advisory Committee
Councillor Atkinson
Councillor Pantazopoulos
Councillor Tyers
Calgary Climate Innovation Fund Executive Advisory Committee
Councillor Atkinson
Calgary Convention Centre Authority
Mayor Farkas
Councillor Pantazopoulos
Calgary Police Commission
Councillor McLean  subject to a successful security check, for a term to expire on 2027 October 31
Calgary Public Library Board
Councillor Schmidt  for a three-year term
Calgary Salutes Coordinating Committee
Councillor Kelly
Councillor Johnston
Calgary Stampede Board
Mayor Farkas
Councillor Chabot
Councillor McLean
City of Chestermere and City of Calgary Intermunicipal Committee
Councillor Chabot
Councillor Clark
Family and Community Support Services Association of Alberta
Councillor Schmidt
Federation of Canadian Municipalities (FCM)
Councillor Johnston  Nominee for the Board of Directors, for a term to expire at the Annual General Meeting of FCM in June 2026
Foothills County and City of Calgary Intermunicipal Committee
Councillor McLean  Nominee for the position of Co-Chair 
Councillor Jamieson
Councillor Johnston
Inter-City Forum on Social Policy
Councillor Schmidt
Multisport Fieldhouse Committee
Councillor Atkinson
Councillor Dhaliwal
Councillor Ward
Pension Governance Committee
Councillor Johnston  for a term to continue until removed by Council
Councillor Pantazopoulos  for a term to continue until removed by Council
Prairie Gateway Oversight Committee 
Mayor Farkas
Councillor Yule
Rocky View County and City of Calgary Intermunicipal Committee
Councillor Dhaliwal
Councillor Tyers
Silvera for Seniors 
Councillor Schmidt ; for a three-year term
3. Receive for information the Mayors appointment of Councillors Pantazopoulos, Yule, and Kelly ;as Councillors-at-Large to the Executive Committee, for terms to expire at the 2026 Organizational Meeting of Council; and
4. Appoint the following Council Committee Chairs and Vice-Chairs, for terms to expire at the 2026 Organizational Meeting of Council:
Audit Committee
Councillor Wyness, Chair 
Councillor Jamieson, Vice-Chair 
Intergovernmental Affairs Committee
Councillor McLean, Chair 
Councillor Tyers, Vice-Chair 
Council Services Committee
Councillor Chabot, Chair 
Councillor Ward, Vice-Chair 
Executive Committee
Councillor Kelly, Vice-Chair  ;
Nominations Committee
Councillor Clark, Vice-Chair 
Calgary Salutes Coordinating Committee
Councillor Kelly, Chair  ;",Andre Chabot,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",DJ Kelly,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following be adopted, after amendment:
That Council:

Appoint Councillors to the following Standing Specialized Committees for terms to expire at the 2026 Organizational Meeting of Council unless otherwise indicated below, as follows:

Audit Committee
Councillor Clark  for a two-year term
Councillor Jamieson  for a two-year term
Councillor Pantazopoulos  for a two-year term
Councillor Wyness  for a two-year term
Council Services Committee
Councillor Atkinson
Councillor Chabot
Councillor Dhaliwal
Councillor Ward
Councillor Wyness
Intergovernmental Affairs Committee
Councillor Chabot
Councillor Johnston
Councillor Clark
Councillor McLean
Councillor Tyers
Councillor Schmidt
Councillor Ward
Nominations Committee
Mayor Farkas, Chair
Councillor Clark
Councillor Jamieson
Councillor Kelly
Councillor McLean
Councillor Tyers
Councillor Yule
2. Appoint Members of Council to Council Committees and Boards, Commissions and Committees for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated;
Alberta Municipalities
Councillor Pantazopoulos  for completion of a two-year term expiring in October 2026
Councillor Chabot  for a two-year term, designated as Vice-President for Calgary for a 1-year term
Arts Commons Advisory Committee
Councillor Atkinson
Councillor Pantazopoulos
Councillor Tyers
Calgary Climate Innovation Fund Executive Advisory Committee
Councillor Atkinson
Calgary Convention Centre Authority
Mayor Farkas
Councillor Pantazopoulos
Calgary Police Commission
Councillor McLean  subject to a successful security check, for a term to expire on 2027 October 31
Calgary Public Library Board
Councillor Schmidt  for a three-year term
Calgary Salutes Coordinating Committee
Councillor Kelly
Councillor Johnston
Calgary Stampede Board
Mayor Farkas
Councillor Chabot
Councillor McLean
City of Chestermere and City of Calgary Intermunicipal Committee
Councillor Chabot
Councillor Clark
Family and Community Support Services Association of Alberta
Councillor Schmidt
Federation of Canadian Municipalities (FCM)
Councillor Johnston  Nominee for the Board of Directors, for a term to expire at the Annual General Meeting of FCM in June 2026
Foothills County and City of Calgary Intermunicipal Committee
Councillor McLean  Nominee for the position of Co-Chair 
Councillor Jamieson
Councillor Johnston
Inter-City Forum on Social Policy
Councillor Schmidt
Multisport Fieldhouse Committee
Councillor Atkinson
Councillor Dhaliwal
Councillor Ward
Pension Governance Committee
Councillor Johnston  for a term to continue until removed by Council
Councillor Pantazopoulos  for a term to continue until removed by Council
Prairie Gateway Oversight Committee 
Mayor Farkas
Councillor Yule
Rocky View County and City of Calgary Intermunicipal Committee
Councillor Dhaliwal
Councillor Tyers
Silvera for Seniors 
Councillor Schmidt ; for a three-year term
3. Receive for information the Mayors appointment of Councillors Pantazopoulos, Yule, and Kelly ;as Councillors-at-Large to the Executive Committee, for terms to expire at the 2026 Organizational Meeting of Council; and
4. Appoint the following Council Committee Chairs and Vice-Chairs, for terms to expire at the 2026 Organizational Meeting of Council:
Audit Committee
Councillor Wyness, Chair 
Councillor Jamieson, Vice-Chair 
Intergovernmental Affairs Committee
Councillor McLean, Chair 
Councillor Tyers, Vice-Chair 
Council Services Committee
Councillor Chabot, Chair 
Councillor Ward, Vice-Chair 
Executive Committee
Councillor Kelly, Vice-Chair  ;
Nominations Committee
Councillor Clark, Vice-Chair 
Calgary Salutes Coordinating Committee
Councillor Kelly, Chair  ;",Andrew Yule,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following be adopted, after amendment:
That Council:

Appoint Councillors to the following Standing Specialized Committees for terms to expire at the 2026 Organizational Meeting of Council unless otherwise indicated below, as follows:

Audit Committee
Councillor Clark  for a two-year term
Councillor Jamieson  for a two-year term
Councillor Pantazopoulos  for a two-year term
Councillor Wyness  for a two-year term
Council Services Committee
Councillor Atkinson
Councillor Chabot
Councillor Dhaliwal
Councillor Ward
Councillor Wyness
Intergovernmental Affairs Committee
Councillor Chabot
Councillor Johnston
Councillor Clark
Councillor McLean
Councillor Tyers
Councillor Schmidt
Councillor Ward
Nominations Committee
Mayor Farkas, Chair
Councillor Clark
Councillor Jamieson
Councillor Kelly
Councillor McLean
Councillor Tyers
Councillor Yule
2. Appoint Members of Council to Council Committees and Boards, Commissions and Committees for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated;
Alberta Municipalities
Councillor Pantazopoulos  for completion of a two-year term expiring in October 2026
Councillor Chabot  for a two-year term, designated as Vice-President for Calgary for a 1-year term
Arts Commons Advisory Committee
Councillor Atkinson
Councillor Pantazopoulos
Councillor Tyers
Calgary Climate Innovation Fund Executive Advisory Committee
Councillor Atkinson
Calgary Convention Centre Authority
Mayor Farkas
Councillor Pantazopoulos
Calgary Police Commission
Councillor McLean  subject to a successful security check, for a term to expire on 2027 October 31
Calgary Public Library Board
Councillor Schmidt  for a three-year term
Calgary Salutes Coordinating Committee
Councillor Kelly
Councillor Johnston
Calgary Stampede Board
Mayor Farkas
Councillor Chabot
Councillor McLean
City of Chestermere and City of Calgary Intermunicipal Committee
Councillor Chabot
Councillor Clark
Family and Community Support Services Association of Alberta
Councillor Schmidt
Federation of Canadian Municipalities (FCM)
Councillor Johnston  Nominee for the Board of Directors, for a term to expire at the Annual General Meeting of FCM in June 2026
Foothills County and City of Calgary Intermunicipal Committee
Councillor McLean  Nominee for the position of Co-Chair 
Councillor Jamieson
Councillor Johnston
Inter-City Forum on Social Policy
Councillor Schmidt
Multisport Fieldhouse Committee
Councillor Atkinson
Councillor Dhaliwal
Councillor Ward
Pension Governance Committee
Councillor Johnston  for a term to continue until removed by Council
Councillor Pantazopoulos  for a term to continue until removed by Council
Prairie Gateway Oversight Committee 
Mayor Farkas
Councillor Yule
Rocky View County and City of Calgary Intermunicipal Committee
Councillor Dhaliwal
Councillor Tyers
Silvera for Seniors 
Councillor Schmidt ; for a three-year term
3. Receive for information the Mayors appointment of Councillors Pantazopoulos, Yule, and Kelly ;as Councillors-at-Large to the Executive Committee, for terms to expire at the 2026 Organizational Meeting of Council; and
4. Appoint the following Council Committee Chairs and Vice-Chairs, for terms to expire at the 2026 Organizational Meeting of Council:
Audit Committee
Councillor Wyness, Chair 
Councillor Jamieson, Vice-Chair 
Intergovernmental Affairs Committee
Councillor McLean, Chair 
Councillor Tyers, Vice-Chair 
Council Services Committee
Councillor Chabot, Chair 
Councillor Ward, Vice-Chair 
Executive Committee
Councillor Kelly, Vice-Chair  ;
Nominations Committee
Councillor Clark, Vice-Chair 
Calgary Salutes Coordinating Committee
Councillor Kelly, Chair  ;",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Jennifer Wyness,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Verbal Report C2025-0813, the following be adopted, ;after amendment:
That Council receive the presentation for the Corporate Record, acknowledging Councillor Johnstons revocation of his interest in selection to attend the Grey Cup Festival.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0810, the following be adopted:
That Council:

Adopt the proposed 2026 Council Calendar in Attachment 1; and
Adopt the proposed 2026 Deputy Mayor Roster in Attachment 2.",Harrison Clark,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, ;after amendment:
That Council:

Appoint ;Councillor Dhaliwal ;as ;the Chair and ;Councillor Tyers as ;the Vice-Chair of the Community Development Committee for terms to expire at the 2026 Organizational Meeting of Council;
Appoint ;Councillor Chabot ;as ;the Chair and ;Councillor Pantazopoulos as ;the Vice-Chair of the Infrastructure and Planning Committee for terms to expire at the 2026 Organizational Meeting of Council.",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0808, the following be adopted, after amendment:
That Council:

Notwithstanding sections 5.16.5 through 5.16.8 of Council Policy CP2016-03 on the Governance and Appointments to Boards, Commissions and Committees, appoint Public Members as set out in Confidential Attachment 1a to the Calgary Police Commission, for terms effective 2025 November 1 and expiring on 2027 October 31;
Direct that the Public Member appointments to the Calgary Police Commission be released publicly upon successful completion of security clearance checks;
Direct that the Closed Meeting discussions, Confidential Attachments 1a and 1b, and Confidential Distribution ;remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy) and 22 (Confidential evaluations) of the Access to Information Act; and
Thank Public Members of the Calgary Police Commission for their service during the past term.",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the ;Access to Information Act, Council move into Closed Meeting, at 3:05 p.m. on 2025 November 3 in the Council Boardroom, to discuss confidential matters with respect to the following Items:

9.3.3, Wholly-Owned Subsidiary Appointments, C2025-0913
9.3.10, Calgary Police Commission Public Member Appointments, C2025-0808",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Verbal Report C2025-0813, the following be adopted, ;after amendment:
That Council receive the presentation for the Corporate Record, acknowledging Councillor Johnstons revocation of his interest in selection to attend the Grey Cup Festival.",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Kim Tyers,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following be adopted, after amendment:
That Council:

Appoint Councillors to the following Standing Specialized Committees for terms to expire at the 2026 Organizational Meeting of Council unless otherwise indicated below, as follows:

Audit Committee
Councillor Clark  for a two-year term
Councillor Jamieson  for a two-year term
Councillor Pantazopoulos  for a two-year term
Councillor Wyness  for a two-year term
Council Services Committee
Councillor Atkinson
Councillor Chabot
Councillor Dhaliwal
Councillor Ward
Councillor Wyness
Intergovernmental Affairs Committee
Councillor Chabot
Councillor Johnston
Councillor Clark
Councillor McLean
Councillor Tyers
Councillor Schmidt
Councillor Ward
Nominations Committee
Mayor Farkas, Chair
Councillor Clark
Councillor Jamieson
Councillor Kelly
Councillor McLean
Councillor Tyers
Councillor Yule
2. Appoint Members of Council to Council Committees and Boards, Commissions and Committees for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated;
Alberta Municipalities
Councillor Pantazopoulos  for completion of a two-year term expiring in October 2026
Councillor Chabot  for a two-year term, designated as Vice-President for Calgary for a 1-year term
Arts Commons Advisory Committee
Councillor Atkinson
Councillor Pantazopoulos
Councillor Tyers
Calgary Climate Innovation Fund Executive Advisory Committee
Councillor Atkinson
Calgary Convention Centre Authority
Mayor Farkas
Councillor Pantazopoulos
Calgary Police Commission
Councillor McLean  subject to a successful security check, for a term to expire on 2027 October 31
Calgary Public Library Board
Councillor Schmidt  for a three-year term
Calgary Salutes Coordinating Committee
Councillor Kelly
Councillor Johnston
Calgary Stampede Board
Mayor Farkas
Councillor Chabot
Councillor McLean
City of Chestermere and City of Calgary Intermunicipal Committee
Councillor Chabot
Councillor Clark
Family and Community Support Services Association of Alberta
Councillor Schmidt
Federation of Canadian Municipalities (FCM)
Councillor Johnston  Nominee for the Board of Directors, for a term to expire at the Annual General Meeting of FCM in June 2026
Foothills County and City of Calgary Intermunicipal Committee
Councillor McLean  Nominee for the position of Co-Chair 
Councillor Jamieson
Councillor Johnston
Inter-City Forum on Social Policy
Councillor Schmidt
Multisport Fieldhouse Committee
Councillor Atkinson
Councillor Dhaliwal
Councillor Ward
Pension Governance Committee
Councillor Johnston  for a term to continue until removed by Council
Councillor Pantazopoulos  for a term to continue until removed by Council
Prairie Gateway Oversight Committee 
Mayor Farkas
Councillor Yule
Rocky View County and City of Calgary Intermunicipal Committee
Councillor Dhaliwal
Councillor Tyers
Silvera for Seniors 
Councillor Schmidt ; for a three-year term
3. Receive for information the Mayors appointment of Councillors Pantazopoulos, Yule, and Kelly ;as Councillors-at-Large to the Executive Committee, for terms to expire at the 2026 Organizational Meeting of Council; and
4. Appoint the following Council Committee Chairs and Vice-Chairs, for terms to expire at the 2026 Organizational Meeting of Council:
Audit Committee
Councillor Wyness, Chair 
Councillor Jamieson, Vice-Chair 
Intergovernmental Affairs Committee
Councillor McLean, Chair 
Councillor Tyers, Vice-Chair 
Council Services Committee
Councillor Chabot, Chair 
Councillor Ward, Vice-Chair 
Executive Committee
Councillor Kelly, Vice-Chair  ;
Nominations Committee
Councillor Clark, Vice-Chair 
Calgary Salutes Coordinating Committee
Councillor Kelly, Chair  ;",DJ Kelly,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0808, the following be adopted, after amendment:
That Council:

Notwithstanding sections 5.16.5 through 5.16.8 of Council Policy CP2016-03 on the Governance and Appointments to Boards, Commissions and Committees, appoint Public Members as set out in Confidential Attachment 1a to the Calgary Police Commission, for terms effective 2025 November 1 and expiring on 2027 October 31;
Direct that the Public Member appointments to the Calgary Police Commission be released publicly upon successful completion of security clearance checks;
Direct that the Closed Meeting discussions, Confidential Attachments 1a and 1b, and Confidential Distribution ;remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy) and 22 (Confidential evaluations) of the Access to Information Act; and
Thank Public Members of the Calgary Police Commission for their service during the past term.",Mayor J. Farkas,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Mike Jamieson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint seven Councillors recommended by the Pro-tem Membership Committee to each of the following Standing Policy Committees, for terms expiring at the 2026 Organizational Meeting of Council:

a. Community Development Committee;
Councillor Atkinson
Councillor Clark
Councillor Dhaliwal
Councillor Johnston
Councillor Kelly
Councillor Tyers
Councillor Yule
Mayor Farkas as Ex-Officio
b. Infrastructure and Planning Committee;
Councillor Chabot
Councillor Jamieson
Councillor McLean
Councillor Pantazopoulos
Councillor Schmidt
Councillor Ward
Councillor Wyness
Mayor Farkas as Ex-Officio",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the ;Access to Information Act, Council move into Closed Meeting, at 3:05 p.m. on 2025 November 3 in the Council Boardroom, to discuss confidential matters with respect to the following Items:

9.3.3, Wholly-Owned Subsidiary Appointments, C2025-0913
9.3.10, Calgary Police Commission Public Member Appointments, C2025-0808",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, ;after amendment:
That Council:

Appoint ;Councillor Dhaliwal ;as ;the Chair and ;Councillor Tyers as ;the Vice-Chair of the Community Development Committee for terms to expire at the 2026 Organizational Meeting of Council;
Appoint ;Councillor Chabot ;as ;the Chair and ;Councillor Pantazopoulos as ;the Vice-Chair of the Infrastructure and Planning Committee for terms to expire at the 2026 Organizational Meeting of Council.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0909, the following be adopted:
That Council refer Report C2025-0909 to the Community Development Committee, to return to Council no later than 2025 December.",Dan McLean,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0808, the following be adopted, after amendment:
That Council:

Notwithstanding sections 5.16.5 through 5.16.8 of Council Policy CP2016-03 on the Governance and Appointments to Boards, Commissions and Committees, appoint Public Members as set out in Confidential Attachment 1a to the Calgary Police Commission, for terms effective 2025 November 1 and expiring on 2027 October 31;
Direct that the Public Member appointments to the Calgary Police Commission be released publicly upon successful completion of security clearance checks;
Direct that the Closed Meeting discussions, Confidential Attachments 1a and 1b, and Confidential Distribution ;remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy) and 22 (Confidential evaluations) of the Access to Information Act; and
Thank Public Members of the Calgary Police Commission for their service during the past term.",Andrew Yule,Yes,MOTION CARRIED
